seq_id,entry_point,code,code_token_length
38901396701,next_closest_palindrome,"from functools import reduce

def next_closest_palindrome(n: str) -> str:
    length = len(n)
    mid = length // 2
    if n == n[::-1]:
        if re.match('^10*1$', n):
            return str(int(n) - 2)
        if re.match('^9+$', n):
            return str(int(n) + 2)
        if length & 1:
            s1 = str(int(n[:mid+1]) + 1)
            s2 = str(int(n[:mid+1]) - 1)
            si1 = int(s1[:-1] + s1[::-1])
            si2 = int(s2[:-1] + s2[::-1])
        else:
            s1 = str(int(n[:mid]) + 1)
            s2 = str(int(n[:mid]) - 1)
            si1 = int(s1 + s1[::-1])
            si2 = int(s2 + s2[::-1])
        return str([si2, si1][abs(si1 - int(n)) < abs(si2 - int(n))])
    else:
        ret = [int(e) for e in n]
        if length & 1:
            i, j = mid - 1, mid + 1
        else:
            i, j = mid - 1, mid
        dis = abs(ret[i] - ret[j])
        if length & 1:
            if dis <= 5:
                ret[j] = ret[i]
            else:
                if ret[j] > ret[i]:
                    ret[mid] += 1
                    if ret[mid] == 10:
                        ret[mid] = 0
                        ret[i] += 1
                else:
                    ret[mid] -= 1
                    if ret[mid] == -1:
                        ret[mid] = 9
                        ret[i] -= 1
                ret[j] = ret[i]
            for k in range(1, mid):
                x, y = i - k, j + k
                if ret[x] != ret[y]: ret[y] = ret[x]
        else:
            ret2 = ret[:]
            if ret[j] > ret[i]:
                ret[i] += 1
            else:
                ret[i] = (ret[i] - 1 + 10) % 10
            ret[j], ret2[j] = ret[i], ret2[i]
            for k in range(1, mid):
                x, y = i - k, j + k
                if ret[x] != ret[y]: ret[y] = ret[x]
                if ret2[x] != ret2[y]: ret2[y] = ret2[x]
            f = lambda x, y: x * 10 + y
            r1, r2 = reduce(f, ret), reduce(f, ret2)
            if abs(r1 - int(n)) == abs(r2 - int(n)):
                ret = ret2 if r2 < r1 else ret
            else:
                ret = [ret, ret2][abs(r1 - int(n)) > abs(r2 - int(n))]
        return ''.join([str(e) for e in ret])",681
30074294089,transform_words,"from collections import defaultdict

def transform_words(beginWord, endWord, wordList):
    def buildConnectionMapping(beginWord, wordList):
        wordList.sort()
        mapping = defaultdict(lambda: [])
        for i in range(len(wordList)):
            for j in range(i + 1, len(wordList)):
                for k in range(len(beginWord)):
                    if wordList[i][k] != wordList[j][k]:
                        break
                if wordList[i][k+1:] == wordList[j][k+1:]:
                    mapping[wordList[i]].append(wordList[j])
                    mapping[wordList[j]].append(wordList[i])
        for w in wordList:
            for k in range(len(beginWord)):
                if w[k] != beginWord[k]:
                    break
            if w[k+1:] == beginWord[k+1:]:
                mapping[beginWord].append(w)
        return mapping

    def findShortestPath(beginWord, endWord, wordList):
        current_layer = [beginWord]
        next_layer = []
        visited = set()
        not_find_end_word = True
        count = 1
        while current_layer and not_find_end_word:
            count += 1
            for word in current_layer:
                for next_word in mapping[word]:
                    if next_word == endWord:
                        not_find_end_word = False
                    if next_word not in visited:
                        visited.add(next_word)
                        next_layer.append(next_word)
            current_layer = next_layer
            next_layer = []
        return count

    def deeper(path, candidates):
        if path[-1] == endWord:
            result.append(path)
            return
        if len(path) < shortest_path_length:
            for i in range(len(candidates)):
                for j in range(len(beginWord)):
                    if path[-1][j] != candidates[i][j]:
                        break
                if path[-1][j+1:] == candidates[i][j+1:]:
                    deeper(path + [candidates[i]], candidates[:i] + candidates[i+1:])

    mapping = buildConnectionMapping(beginWord, wordList)
    shortest_path_length = findShortestPath(beginWord, endWord, wordList)
    result = []
    deeper([beginWord], wordList)
    return result

class Solution:
    def findLadders(self, beginWord, endWord, wordList):
        return transform_words(beginWord, endWord, wordList)",504
14120506416,ideal_arrays,"from collections import Counter
from functools import lru_cache
from math import floor

MOD = int(1e9 + 7)

@lru_cache(None)
def getPrimeFactors(n: int) -> Counter[int]:
    """"""返回 n 的质因子分解""""""
    res = Counter()
    upper = floor(n**0.5) + 1
    for i in range(2, upper):
        while n % i == 0:
            res[i] += 1
            n //= i

    if n > 1:
        res[n] += 1
    return res

@lru_cache(None)
def fac(n: int) -> int:
    """"""n的阶乘""""""
    if n == 0:
        return 1
    return n * fac(n - 1) % MOD

@lru_cache(None)
def ifac(n: int) -> int:
    """"""n的阶乘的逆元""""""
    return pow(fac(n), MOD - 2, MOD)

def C(n: int, k: int) -> int:
    if n < 0 or k < 0 or n < k:
        return 0
    return ((fac(n) * ifac(k)) % MOD * ifac(n - k)) % MOD

def CWithReplacement(n: int, k: int) -> int:
    """"""可重复选取的组合数 itertools.combinations_with_replacement 的个数""""""
    return C(n + k - 1, k)

def put(n: int, k: int) -> int:
    """"""
    n个物品放入k个槽(槽可空)的方案数
    """"""
    return C(n + k - 1, k - 1)

class Solution:
    def ideal_arrays(self, n: int, end: int) -> int:
        res = 0
        cur = 1
        counter = getPrimeFactors(end)
        for _, k in counter.items():
            cur *= put(n - 1, k + 1)
            cur %= MOD
        res += cur
        res %= MOD
        return res

def ideal_arrays(n: int, maxValue: int) -> int:
    res = 0
    for end in range(1, maxValue + 1):
        res += Solution().ideal_arrays(n, end)
        res %= MOD
    return res",496
1185920464,is_perfect_rectangle,"from typing import List

class Solution:
    def isRectangleCover(self, rectangles: List[List[int]]) -> bool:

        tris = {}

        def add(x, y, tris):
            if x in tris:
                if y in tris[x]:
                    tris[x][y] += 1
                else:
                    tris[x][y] = 1
            else:
                tris[x] = {y: 1}

        area = 0
        minx = 10000000000
        miny = 10000000000
        maxa = -10000000000
        maxb = -10000000000

        for x, y, a, b in rectangles:
            add(x, y, tris)
            add(a, y, tris)
            add(a, b, tris)
            add(x, b, tris)

            area += (b - y) * (a - x)
            minx = min(minx, x)
            miny = min(miny, y)
            maxa = max(maxa, a)
            maxb = max(maxb, b)

        if (
            area != (maxa - minx) * (maxb - miny)
            or (miny in tris[minx] and tris[minx][miny] != 1)
            or (maxb in tris[minx] and tris[minx][maxb] != 1)
            or (miny in tris[maxa] and tris[maxa][miny] != 1)
            or (maxb in tris[maxa] and tris[maxa][maxb] != 1)
        ):
            return False

        cou = 0
        for k, v in tris.items():
            for k2, v2 in v.items():
                if v2 == 2 or v2 == 4:
                    pass
                elif v2 == 1:
                    cou += 1
                else:
                    return False

        return cou == 4


def is_perfect_rectangle(rectangles):
    solution = Solution()
    return solution.isRectangleCover(rectangles)",487
7804968646,is_valid_number,"def is_valid_number(s):
    s = s.strip()
    # dfa status
    err = -1 #error
    srt = 0  #start
    sgd = 1  #integer part sign
    did = 2  #integer part number
    ddp = 3  #xx. (there some number before '.')
    dnp = 4  #.
    dii = 5  # decimal part number
    exe = 6  # e
    sge = 7  # exp part sign
    die = 8  # exp part number
    end = 9  # end
    
    # construct a dfa
    dfa = [[err] * 128 for i in range(9)]
    dfa[srt][ord('+')] = dfa[srt][ord('-')] = sgd
    dfa[srt][ord('.')] = dfa[sgd][ord('.')] = dnp
    dfa[did][ord('.')] = ddp
    dfa[did][ord('e')] = dfa[ddp][ord('e')] = dfa[dii][ord('e')] = exe
    dfa[exe][ord('+')] = dfa[exe][ord('-')] = sge
    dfa[dii][0] = dfa[ddp][0] = dfa[did][0] = dfa[die][0] = end
    for i in range(10):
        t = ord('0') + i
        dfa[srt][t] = dfa[sgd][t] = dfa[did][t] = did
        dfa[ddp][t] = dfa[dnp][t] = dfa[dii][t] = dii
        dfa[exe][t] = dfa[sge][t] = dfa[die][t] = die
    
    # run dfa with s
    s = s.strip()
    status = srt
    for c in s:
        status = dfa[status][ord(c)]
        if status == err:
            return False
    return True if dfa[status][0] == end else False",479
17638916816,is_cyclic,"from collections import defaultdict

# Graph class represents a directed graph
class Graph:

    def __init__(self, vertices):
        self.graph = defaultdict(list) # dictionary containing adjacency List
        self.V = vertices # No. of vertices

    # function to add an edge to graph
    def addEdge(self, u, v):
        self.graph[u].append(v)

    # A recursive function used by isCyclic
    def isCyclicUtil(self, v, visited, recStack):

        # Mark current node as visited and
        # adds to recursion stack
        visited[v] = True
        recStack[v] = True

        # Recur for all neighbours
        # if any neighbour is visited and in recStack then graph is cyclic
        for neighbour in self.graph[v]:
            if visited[neighbour] == False:
                if self.isCyclicUtil(neighbour, visited, recStack) == True:
                    return True
            elif recStack[neighbour] == True:
                return True

        # The node needs to be popped from
        # recursion stack before function ends
        recStack[v] = False
        return False

    # Returns true if graph is cyclic else false
    def isCyclic(self):
        visited = [False] * self.V
        recStack = [False] * self.V
        for node in range(self.V):
            if visited[node] == False:
                if self.isCyclicUtil(node, visited, recStack) == True:
                    return True
        return False

# Function to check if the graph is cyclic
def is_cyclic(vertices, edges):
    g = Graph(vertices)
    for edge in edges:
        g.addEdge(edge[0], edge[1])
    return g.isCyclic()

# Test cases
assert is_cyclic(4, [[0, 1], [0, 2], [1, 2], [2, 0], [2, 3], [3, 3]]) == True
assert is_cyclic(4, [[0, 1], [0, 2], [1, 3], [2, 3]]) == False
assert is_cyclic(3, [[0, 1], [1, 2]]) == False",476
71003293221,find_quadruplets,"def find_quadruplets(nums, target):
    nums.sort()
    result = []
    length = len(nums)
    for i in range(length - 3):
        if i > 0 and nums[i] == nums[i - 1]:
            continue
        for j in range(i + 1, length - 2):
            if j > i + 1 and nums[j] == nums[j - 1]:
                continue
            left, right = j + 1, length - 1
            while left < right:
                total = nums[i] + nums[j] + nums[left] + nums[right]
                if total == target:
                    result.append([nums[i], nums[j], nums[left], nums[right]])
                    while left < right and nums[left] == nums[left + 1]:
                        left += 1
                    while left < right and nums[right] == nums[right - 1]:
                        right -= 1
                    left += 1
                    right -= 1
                elif total < target:
                    left += 1
                else:
                    right -= 1
    return result

assert find_quadruplets([-3, -2, -1, 0, 0, 1, 2, 3], 0) == [[-3, -2, 2, 3], [-3, -1, 1, 3], [-3, 0, 0, 3], [-3, 0, 1, 2], [-2, -1, 0, 3], [-2, -1, 1, 2], [-2, 0, 0, 2], [-1, 0, 0, 1]]
assert find_quadruplets([1, 0, -1, 0, -2, 2], 0) == [[-2, -1, 1, 2], [-2, 0, 0, 2], [-1, 0, 0, 1]]
assert find_quadruplets([2, 2, 2, 2, 2], 8) == [[2, 2, 2, 2]]",466
2225669181,convex_hull,"import math

def polar_angle(p0, p1):
    return math.atan2(p1[1]-p0[1], p1[0]-p0[0])

def distance(p, anchor):
    return (p[1]-anchor[1])**2 + (p[0]-anchor[0])**2

def sort_points(points, anchor):
    if len(points) <= 1:
        return points
    s, e, l = [], [], []
    pivot_angle = polar_angle(anchor, points[randint(0, len(points) - 1)])
    for pt in points:
        if pt == anchor:
            continue
        angle = polar_angle(anchor, pt)
        if angle < pivot_angle:
            s.append(pt)
        elif angle == pivot_angle:
            e.append(pt)
        else:
            l.append(pt)
    return sort_points(s, anchor) + sorted(e, key=lambda p: distance(p, anchor)) + sort_points(l, anchor)

def reverse_tail(points, anchor):
    if polar_angle(anchor, points[0]) != polar_angle(anchor, points[-1]):
        tail = [points.pop()]
        while polar_angle(anchor, points[-1]) == polar_angle(anchor, tail[0]):
            tail.append(points.pop())
        points.extend(reversed(tail))
    return points

def determinant(p1, p2, p3):
    return (p2[0]-p1[0]) * (p3[1]-p1[1]) - (p2[1]-p1[1])*(p3[0]-p1[0])

def convex_hull(trees):
    if len(trees) < 4:
        return trees

    p = []
    anchor = min(trees, key=lambda x: (x[1], x[0]))
    p.append(anchor)
    trees = sort_points(trees, anchor)
    trees = reverse_tail(trees, anchor)
    p.append(trees[0])
    for t in trees[1:]:
        while len(p) >= 2 and determinant(p[-2], p[-1], t) < 0:
            del p[-1]
        p.append(t)
    return p",455
14865859737,has_valid_path,"from collections import deque

def has_valid_path(grid):
    paths = {1: [[0, 1], [0, -1]], 2: [[1, 0], [-1, 0]], 3: [[0, -1], [1, 0]], 4: [[1, 0], [0, 1]], 5: [[0, -1], [-1, 0]], 6: [[0, 1], [-1, 0]]}
    pairs = {(0, 1): [1, 3, 5], (0, -1): [1, 4, 6], (1, 0): [2, 5, 6], (-1, 0): [2, 3, 4]}
    tx, ty = len(grid) - 1, len(grid[0]) - 1
    queue = deque()
    queue.append([0, 0])
    visited = [[False] * len(grid[0]) for _ in range(len(grid))]
    start = [0, 0]

    while queue:
        x, y = queue.popleft()
        if x == tx and y == ty:
            return True
        num = grid[x][y]
        visited[x][y] = True
        for dx, dy in paths[num]:
            nx, ny = x + dx, y + dy
            if 0 <= nx < len(grid) and 0 <= ny < len(grid[0]):
                nxt = pairs[(dx, dy)]
                if grid[nx][ny] in nxt and not visited[nx][ny]:
                    queue.append([nx, ny])

    return False

assert has_valid_path([[2,4,3],[6,5,2]]) == True
assert has_valid_path([[1,2,1],[1,2,1]]) == False
assert has_valid_path([[1,1,2]]) == False
assert has_valid_path([[1,1,1,1,1,1,3]]) == True
assert has_valid_path([[2],[2],[2],[2],[2],[2],[6]]) == True",454
20602737783,word_break,"def word_break(wordDict, s):
    n = len(s)
    dp = [False] * (n + 1)
    dp[0] = True
    for i in range(1, n + 1):
        for j in range(i):
            if dp[j] and s[j:i] in wordDict:
                dp[i] = True
                break
    return dp[n]

wordDict = [""dog"", ""cat"", ""code"", ""sand"", ""dogcar""]
s = ""dogcarcode""
print(word_break(wordDict, s))
wordDict = [""hello"", ""world""]
s = ""helloworld""
print(word_break(wordDict, s))
wordDict = [""apple"", ""pen""]
s = ""applepenapple""
print(word_break(wordDict, s))
wordDict = [""hello"", ""world""]
s = ""helloplanet""
print(word_break(wordDict, s))
wordDict = [""cat"", ""cats"", ""dog"", ""dogs""]
s = ""catdog""
print(word_break(wordDict, s))
wordDict = [""cat"", ""cats"", ""dog"", ""dogs""]
s = ""catcats""
print(word_break(wordDict, s))
wordDict = [""cat"", ""cats"", ""dog"", ""dogs""]
s = ""catcatsdog""
print(word_break(wordDict, s))
wordDict = [""cat"", ""cats"", ""dog"", ""dogs""]
s = ""catdogdog""
print(word_break(wordDict, s))
wordDict = [""cat"", ""cats"", ""dog"", ""dogs""]
s = ""dogcatsdog""
print(word_break(wordDict, s))
wordDict = [""cat"", ""cats"", ""dog"", ""dogs""]
s = ""catsdogcats""
print(word_break(wordDict, s))
wordDict = [""cat"", ""cats"", ""dog"", ""dogs""]
s = ""dogdog""
print(word_break(wordDict, s))
wordDict = [""cat"", ""cats"", ""dog"", ""dogs""]
s = ""catcat""
print(word_break(wordDict, s))
wordDict = [""cat"", ""cats"", ""dog"", ""dogs""]
s = ""dog""
print(word_break(wordDict, s))",452
